timestamp,builder_pubkey,value,slot
13,0x96a59d35,198076837448497184.00000000000000000000000000000000000000,6033851
12,0xa4fb63c2,197268248330354912.00000000000000000000000000000000000000,6033851
12,0xb194b2b8,197268248330354912.00000000000000000000000000000000000000,6033851
13,0xb8fceec0,197198069122090016.00000000000000000000000000000000000000,6033851
13,0x81beef03,196840617105934880.00000000000000000000000000000000000000,6033851
13,0xb5d88356,191762669483841376.00000000000000000000000000000000000000,6033851
12,0x96a59d35,191760569483841376.00000000000000000000000000000000000000,6033851
12,0xa4fb63c2,190957554872187680.00000000000000000000000000000000000000,6033851
12,0xb194b2b8,190957554872187680.00000000000000000000000000000000000000,6033851
12,0xb8fceec0,190887375663922784.00000000000000000000000000000000000000,6033851
12,0xb194b2b8,190848464625412992.00000000000000000000000000000000000000,6033851
12,0xa4fb63c2,190834771925412992.00000000000000000000000000000000000000,6033851
12,0xb194b2b8,190810008188726528.00000000000000000000000000000000000000,6033851
12,0xb8fceec0,190778285417148064.00000000000000000000000000000000000000,6033851
12,0xb8fceec0,190764592717148064.00000000000000000000000000000000000000,6033851
12,0xa4fb63c2,190719045770726528.00000000000000000000000000000000000000,6033851
12,0xb5d88356,190645323022940640.00000000000000000000000000000000000000,6033851
12,0x96a59d35,190645323022940640.00000000000000000000000000000000000000,6033851
12,0x96a59d35,190522540076165920.00000000000000000000000000000000000000,6033851
12,0x81beef03,190507121747767648.00000000000000000000000000000000000000,6033851
12,0xb5d88356,190497776339479488.00000000000000000000000000000000000000,6033851
11,0x96a59d35,190465945005953696.00000000000000000000000000000000000000,6033851
11,0xb194b2b8,190445141844184544.00000000000000000000000000000000000000,6033851
12,0x81babeec,190420833400992928.00000000000000000000000000000000000000,6033851
11,0xa4fb63c2,190388501615581536.00000000000000000000000000000000000000,6033851
11,0xb194b2b8,190388501615581536.00000000000000000000000000000000000000,6033851
11,0xb8fceec0,190319928833858624.00000000000000000000000000000000000000,6033851
11,0x96a59d35,190256774440913888.00000000000000000000000000000000000000,6033851
11,0x96a59d35,190134516421479488.00000000000000000000000000000000000000,6033851
12,0x81beef03,190019117046306464.00000000000000000000000000000000000000,6033851
12,0x81babeec,190017510619764480.00000000000000000000000000000000000000,6033851
10,0x96a59d35,189812699824332992.00000000000000000000000000000000000000,6033851
11,0xb5d88356,189807125398849920.00000000000000000000000000000000000000,6033851
11,0xb194b2b8,189785301008477760.00000000000000000000000000000000000000,6033851
11,0xa4fb63c2,189785301008477760.00000000000000000000000000000000000000,6033851
11,0x96a59d35,189775386098849920.00000000000000000000000000000000000000,6033851
11,0x81beef03,189761390591161472.00000000000000000000000000000000000000,6033851
11,0xb8fceec0,189716728226754848.00000000000000000000000000000000000000,6033851
11,0x81babeec,189711704891161472.00000000000000000000000000000000000000,6033851
10,0x96a59d35,189694737892797312.00000000000000000000000000000000000000,6033851
10,0x96a59d35,189453449049587072.00000000000000000000000000000000000000,6033851
11,0xa4fb63c2,189451421208477760.00000000000000000000000000000000000000,6033851
10,0xb194b2b8,189403221208477760.00000000000000000000000000000000000000,6033851
10,0xa4fb63c2,189376005659214912.00000000000000000000000000000000000000,6033851
10,0xb8fceec0,189221144530717280.00000000000000000000000000000000000000,6033851
10,0x96a59d35,189217395671276704.00000000000000000000000000000000000000,6033851
10,0xb194b2b8,189139952280904512.00000000000000000000000000000000000000,6033851
10,0xb5d88356,189115403970563968.00000000000000000000000000000000000000,6033851
10,0xa4fb63c2,189042625880191808.00000000000000000000000000000000000000,6033851
10,0xb194b2b8,189037960580191808.00000000000000000000000000000000000000,6033851
10,0xa4fb63c2,189019363680191808.00000000000000000000000000000000000000,6033851
10,0xb194b2b8,189019363680191808.00000000000000000000000000000000000000,6033851
11,0x81babeec,188975589984057696.00000000000000000000000000000000000000,6033851
11,0x81beef03,188975589984057696.00000000000000000000000000000000000000,6033851
10,0xb8fceec0,188969387798468864.00000000000000000000000000000000000000,6033851
10,0xb8fceec0,188950790898468864.00000000000000000000000000000000000000,6033851
13,0xa4120079,188814353528028032.00000000000000000000000000000000000000,6033851
12,0xa5eec32c,188814353528028032.00000000000000000000000000000000000000,6033851
12,0x8eb772d9,188776359053037504.00000000000000000000000000000000000000,6033851
12,0x91970c2d,188728065181253312.00000000000000000000000000000000000000,6033851
10,0x81beef03,188611738905034592.00000000000000000000000000000000000000,6033851
10,0x81babeec,188593142005034592.00000000000000000000000000000000000000,6033851
11,0x8ea1393f,188537229484489024.00000000000000000000000000000000000000,6033851
12,0x8ed74896,188536742302266432.00000000000000000000000000000000000000,6033851
9,0xa4fb63c2,188425102331818080.00000000000000000000000000000000000000,6033851
12,0x8e39849c,188364805263253312.00000000000000000000000000000000000000,6033851
12,0x91970c2d,188364805263253312.00000000000000000000000000000000000000,6033851
9,0xb8fceec0,188356529550095168.00000000000000000000000000000000000000,6033851
11,0x91970c2d,188129237763253312.00000000000000000000000000000000000000,6033851
9,0xa4fb63c2,188101449772758400.00000000000000000000000000000000000000,6033851
10,0x81beef03,187998880656660864.00000000000000000000000000000000000000,6033851
9,0x81babeec,187998880656660864.00000000000000000000000000000000000000,6033851
11,0xa4120079,187679588721189344.00000000000000000000000000000000000000,6033851
9,0x81beef03,187664168597601184.00000000000000000000000000000000000000,6033851
9,0x81babeec,187628112697601184.00000000000000000000000000000000000000,6033851
11,0x91970c2d,187407261221189344.00000000000000000000000000000000000000,6033851
11,0xa5eec32c,187407261221189344.00000000000000000000000000000000000000,6033851
10,0x91970c2d,187171207842878976.00000000000000000000000000000000000000,6033851
11,0x8e39849c,187171207842878976.00000000000000000000000000000000000000,6033851
10,0x8e39849c,187073881442166240.00000000000000000000000000000000000000,6033851
10,0x91970c2d,187073881442166240.00000000000000000000000000000000000000,6033851
10,0x91970c2d,186481720093792512.00000000000000000000000000000000000000,6033851
9,0x91970c2d,186481720093792512.00000000000000000000000000000000000000,6033851
9,0xa4120079,186481720093792512.00000000000000000000000000000000000000,6033851
9,0x8e39849c,186481720093792512.00000000000000000000000000000000000000,6033851
9,0x91970c2d,186164096747017824.00000000000000000000000000000000000000,6033851
9,0xa5eec32c,186122096747017824.00000000000000000000000000000000000000,6033851
9,0x91970c2d,186080096747017824.00000000000000000000000000000000000000,6033851
13,0x83d3495a,181908119643110464.00000000000000000000000000000000000000,6033851
13,0x83d3495a,181866119643110464.00000000000000000000000000000000000000,6033851
13,0x83d3495a,181824119643110464.00000000000000000000000000000000000000,6033851
13,0x8000008a,181513329358944736.00000000000000000000000000000000000000,6033851
12,0x8000008a,181471329358944736.00000000000000000000000000000000000000,6033851
12,0xa66f3abc,181471329358944736.00000000000000000000000000000000000000,6033851
12,0x83d3495a,175515526184943232.00000000000000000000000000000000000000,6033851
12,0x83d3495a,175513426184943232.00000000000000000000000000000000000000,6033851
13,0x89551cb5,175433707227320512.00000000000000000000000000000000000000,6033851
12,0x83d3495a,175427137838168512.00000000000000000000000000000000000000,6033851
12,0x83d3495a,175390643238168512.00000000000000000000000000000000000000,6033851
12,0x89551cb5,175347418880545824.00000000000000000000000000000000000000,6033851
13,0x89551cb5,175347418880545824.00000000000000000000000000000000000000,6033851
12,0x83d3495a,175274917083482080.00000000000000000000000000000000000000,6033851
12,0xa66f3abc,175162735900777504.00000000000000000000000000000000000000,6033851
12,0xa66f3abc,175160635900777504.00000000000000000000000000000000000000,6033851
12,0x8000008a,175160635900777504.00000000000000000000000000000000000000,6033851
12,0xa66f3abc,175137834000777504.00000000000000000000000000000000000000,6033851
12,0x8000008a,175069673482777504.00000000000000000000000000000000000000,6033851
12,0xa66f3abc,175051545654002784.00000000000000000000000000000000000000,6033851
12,0x8000008a,175046871582777504.00000000000000000000000000000000000000,6033851
12,0xa66f3abc,175037852954002784.00000000000000000000000000000000000000,6033851
11,0x83d3495a,175002619583482080.00000000000000000000000000000000000000,6033851
12,0x83d3495a,175002619583482080.00000000000000000000000000000000000000,6033851
11,0x83d3495a,175001013156940064.00000000000000000000000000000000000000,6033851
13,0x978a35c3,174984339313571520.00000000000000000000000000000000000000,6033851
12,0x978a35c3,174982239313571520.00000000000000000000000000000000000000,6033851
13,0x978a35c3,174982239313571520.00000000000000000000000000000000000000,6033851
13,0x978a35c3,174961407313571520.00000000000000000000000000000000000000,6033851
12,0x978a35c3,174961407313571520.00000000000000000000000000000000000000,6033851
12,0x8000008a,174960583236002784.00000000000000000000000000000000000000,6033851
11,0x83d3495a,174958992156940064.00000000000000000000000000000000000000,6033851
12,0x8000008a,174946890536002784.00000000000000000000000000000000000000,6033851
11,0x83d3495a,174944372928337056.00000000000000000000000000000000000000,6033851
